Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
7097,1,USED,2018,Mercedes-Benz,AMG GLC 63 4MATIC Coupe,,59950,Gasoline,Black,15,Red Pepper,22,AWD,9-Speed Automatic,4,8,11001,5,https://www.cars.com/vehicledetail/detail/802330330/overview/
7097,1,USED,2012,Nissan,Murano CrossCabriolet Base,,14895,Gasoline,Platinum Graphite,17,Black,22,AWD,Automatic CVT,3.5,6,47763,3.4,https://www.cars.com/vehicledetail/detail/805851506/overview/
7097,1,USED,2017,BMW,M240 i,,25989,Gasoline,Mineral Gray Metallic,21,Black,32,RWD,6-Speed Manual,3,4,40369,4.8,https://www.cars.com/vehicledetail/detail/798357590/overview/
7097,1,USED,2011,Acura,TL Technology,,5995,Gasoline,Black,,,,AWD,5-Speed Automatic,3.7,6,110000,4.9,https://www.cars.com/vehicledetail/detail/793411961/overview/
7097,1,USED,2014,Toyota,Camry SE,,5900,Gasoline,Attitude Black Metallic,25,Black,35,FWD,6-Speed Automatic,2.5,6,122413,4.6,https://www.cars.com/vehicledetail/detail/807247021/overview/
7097,1,USED,2007,Jaguar,XKR,,17990,Gasoline,Silver,17,Beige,25,RWD,6-Speed Automatic,4.2,8,51797,4.8,https://www.cars.com/vehicledetail/detail/805878113/overview/
7097,1,USED,2004,Lexus,430,,10990,Gasoline,Black,,,,RWD,Automatic,4.3,8,100074,,https://www.cars.com/vehicledetail/detail/803080362/overview/
7097,1,USED,2018,Lexus,LC 500 Base,,69130,Gasoline,White,16,Bespoke White,26,RWD,Automatic,,,10120,4.8,https://www.cars.com/vehicledetail/detail/802090932/overview/
7097,1,USED,2005,Subaru,Baja Sport,,9590,Gasoline,Brilliant Silver Metallic,21,Gray,27,AWD,5-Speed Manual,2.5,6,81914,4.6,https://www.cars.com/vehicledetail/detail/804779783/overview/
7097,1,USED,2018,Honda,Civic Type R Touring,,28995,Gasoline,Championship White,22,Red / Black,28,FWD,6-Speed Manual,2,6,5787,4.6,https://www.cars.com/vehicledetail/detail/804251904/overview/
7097,1,USED,2011,BMW,128 i,,6499,Gasoline,Gray,18,Black,28,RWD,6-Speed Automatic,3,4,70493,4.8,https://www.cars.com/vehicledetail/detail/802918611/overview/
7097,1,USED,2005,Lexus,LS 430,,4999,Gasoline,Black,18,Cream,25,RWD,6-Speed Automatic,4.3,8,107261,4.8,https://www.cars.com/vehicledetail/detail/793884957/overview/
7097,1,USED,2017,Genesis,G90 3.3T Premium,,34495,Gasoline,Casablanca White,17,Black,24,RWD,8-Speed Automatic,3.3,6,27818,4.7,https://www.cars.com/vehicledetail/detail/802628173/overview/
7097,1,USED,2018,Buick,Encore Preferred II,,13500,Gasoline,Winterberry Red Metallic,25,,33,FWD,6-Speed Automatic,1.4,6,406,4.8,https://www.cars.com/vehicledetail/detail/793325576/overview/
7097,1,USED,2006,Land Rover,LR3,,5499,Gasoline,Burgundy,14,Beige,19,4WD,6-Speed Automatic,4,6,118610,4.3,https://www.cars.com/vehicledetail/detail/804066164/overview/
7097,1,USED,1994,Mazda,RX-7,,31999,Gasoline,Black,17,Tan,25,,5-Speed Manual,1.3,,70650,5,https://www.cars.com/vehicledetail/detail/806195119/overview/
7097,1,USED,2016,Nissan,Maxima 3.5 SL,,13499,Gasoline,Forged Bronze,22,Charcoal,30,FWD,Automatic CVT,3.5,6,44342,4.7,https://www.cars.com/vehicledetail/detail/797349415/overview/
7097,1,USED,2011,Aston,Martin Rapide Luxe,,59900,Gasoline,White,13,RED,19,RWD,AUTO,,,22300,5,https://www.cars.com/vehicledetail/detail/778818219/overview/
7097,1,USED,2008,Jaguar,XJ8,,9995,Gasoline,White,16,,25,RWD,6-Speed Automatic,4.2,8,50120,5,https://www.cars.com/vehicledetail/detail/805410691/overview/
7097,1,USED,2001,Ferrari,360 Spider F1,,57000,Gasoline,Yellow,,Beige,,AWD,Automatic,,,9100,4.2,https://www.cars.com/vehicledetail/detail/801456309/overview/
7097,1,USED,2020,Nissan,NV Passenger NV3500 HD SV V6/SV V8,,27900,Gasoline,Glacier White,,Gray,,RWD,5-Speed Automatic,4,6,33,,https://www.cars.com/vehicledetail/detail/806482329/overview/
7097,1,USED,2016,Lexus,GS F Base,,44895,Gasoline,Ultra White,16,Red,24,RWD,8-Speed Automatic,5,8,33535,4.6,https://www.cars.com/vehicledetail/detail/804302528/overview/
7097,1,NEW,2020,Nissan,Rogue Sport SV,,29450,Gasoline,Scarlet Ember,25,Charcoal,32,AWD,Automatic CVT,2,6,6,4.7,https://www.cars.com/vehicledetail/detail/805160714/overview/
7097,1,USED,2004,Buick,Rainier CXL Plus,,1500,Gasoline,Black,16,Light Cashmere,21,AWD,4-Speed Automatic,5.3,8,207055,4.1,https://www.cars.com/vehicledetail/detail/790106405/overview/
7097,1,USED,2002,Chevrolet,Astro,,3995,Gasoline,Ivory White,17,Medium Gray,22,RWD,4-Speed Automatic,4.3,6,179436,4,https://www.cars.com/vehicledetail/detail/800413592/overview/
7097,1,USED,2015,BMW,i8 Base,,59950,Hybrid,Gray,,,,AWD,6-Speed Automatic,1.5,2,21609,4.2,https://www.cars.com/vehicledetail/detail/786903933/overview/
7097,1,USED,2016,Mercedes-Benz,Maybach S S 600,,99000,Gasoline,Palladium Grey,13,BLACK,20,RWD,AUTO,,,27900,,https://www.cars.com/vehicledetail/detail/791614831/overview/
7097,1,USED,1998,Pontiac,Firebird Trans Am,,9500,Gasoline,Blue,,Gray,,RWD,Automatic,,,65000,4.3,https://www.cars.com/vehicledetail/detail/805200521/overview/
7097,1,USED,2019,Mitsubishi,Outlander Sport ES,,13295,Gasoline,Gray,23,Black,29,4WD,Automatic CVT,2,6,27107,4.8,https://www.cars.com/vehicledetail/detail/801572911/overview/
7097,1,USED,2006,Dodge,Magnum SXT,,5495,Gasoline,Black,18,Gray,24,AWD,5-Speed Automatic,3.5,6,96180,4.6,https://www.cars.com/vehicledetail/detail/797277449/overview/
7097,1,USED,2015,Volvo,S80 T5,,12924,Gasoline,Black Stone,25,Off Black,37,FWD,8-Speed Automatic,2,6,70876,5,https://www.cars.com/vehicledetail/detail/781674468/overview/
7097,1,USED,2013,Nissan,Sentra SR,,3999,Gasoline,Super Black,30,Black,39,FWD,Automatic CVT,1.8,6,64547,3.8,https://www.cars.com/vehicledetail/detail/802562482/overview/
7097,1,USED,2019,Lamborghini,Urus,,225500,Gasoline,Grigio Lynx Metallic,12,Nero Ade,17,AWD,8-Speed Automatic,4,8,3195,5,https://www.cars.com/vehicledetail/detail/805067601/overview/
7097,1,NEW,2020,Nissan,Versa S,,,Gasoline,Brilliant Silver Metallic,27,Charcoal,35,FWD,Variable,,,5,4.5,https://www.cars.com/vehicledetail/detail/797254983/overview/
7097,1,USED,2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,,25900,Gasoline,Not Specified,17,,22,AWD,9-Speed Automatic,3,6,3847,5,https://www.cars.com/vehicledetail/detail/807925087/overview/
7097,1,USED,2009,Nissan,Maxima 3.5 SV,,4995,Gasoline,Super Black,19,Charcoal,26,FWD,Automatic CVT,3.5,6,87491,4.6,https://www.cars.com/vehicledetail/detail/793412019/overview/
7097,1,USED,2011,Jaguar,XJ Base,,14995,Gasoline,Ebony,16,Dove,23,RWD,6-Speed Automatic,5,8,69684,4.8,https://www.cars.com/vehicledetail/detail/803039593/overview/
7097,1,USED,2019,Mercedes-Benz,AMG GLC 63 Base 4MATIC,,58800,Gasoline,Obsidian Black Metallic,16,Red Pepper,22,AWD,9-Speed Automatic,4,8,6454,3,https://www.cars.com/vehicledetail/detail/802916851/overview/
7097,1,USED,2018,Toyota,C-HR XLE,,16888,Gasoline,Black Sand Pearl,27,Black,31,FWD,Automatic CVT,2,6,36624,4.7,https://www.cars.com/vehicledetail/detail/805051540/overview/
7097,1,USED,2019,Mercedes-Benz,A 220,,27900,Gasoline,Midnight Black,24,Black,35,FWD,7-Speed Automatic with Auto-Shift,2,6,7009,4.4,https://www.cars.com/vehicledetail/detail/804486130/overview/
7097,1,USED,2019,Dodge,Grand Caravan SE,,18900,E85 Flex Fuel,Blue,17,Gray,25,FWD,Automatic,3.6,6,64,4.7,https://www.cars.com/vehicledetail/detail/807127723/overview/
7097,1,USED,2013,Volkswagen,CC 2.0T Sport Plus,,6895,Gasoline,Brown,22,Desert Beige,31,FWD,6-Speed Automatic with Auto-Shift,2,6,76290,4.6,https://www.cars.com/vehicledetail/detail/798063692/overview/
7097,1,NEW,2019,Mitsubishi,Outlander PHEV GT,,38420,Hybrid,Pearl White,,Black,,4WD,1-Speed Automatic,2,6,16,4.6,https://www.cars.com/vehicledetail/detail/781777342/overview/
7097,1,USED,2018,smart,ForTwo Electric Drive Passion,,13800,Electric,Black,124,Orange / Black,94,RWD,1-Speed Automatic,,,8667,4.2,https://www.cars.com/vehicledetail/detail/806243692/overview/
7097,1,NEW,2020,Nissan,Rogue Sport SL,,32679,Gasoline,White,25,Light Gray,32,AWD,Automatic CVT,2,6,8,4.7,https://www.cars.com/vehicledetail/detail/795301531/overview/
7097,1,USED,2015,Nissan,Titan SV,,18500,Gasoline,Magnetic Black,12,Almond,17,4WD,5-Speed Automatic,5.6,8,27182,4.9,https://www.cars.com/vehicledetail/detail/783816397/overview/
7097,1,USED,2009,Volvo,S80 3.2,,3995,Gasoline,Blue,,Tan,,FWD,6-Speed Automatic,3.2,4,116964,4.6,https://www.cars.com/vehicledetail/detail/797562424/overview/
7097,1,USED,2017,INFINITI,QX50 Base,,8500,Gasoline,Black,17,,24,AWD,7-Speed Automatic,3.7,6,8444,4.6,https://www.cars.com/vehicledetail/detail/808090635/overview/
7097,1,USED,2015,RAM,ProMaster 2500 High Roof,,18990,Diesel,Black,,Black,,FWD,6-Speed Automatic,3,6,91675,,https://www.cars.com/vehicledetail/detail/799089237/overview/
7097,1,USED,2014,GMC,Terrain SLE-1,,5990,Gasoline,Champagne Silver,22,Light Titanium,32,AWD,6-Speed Automatic,2.4,6,64459,4.6,https://www.cars.com/vehicledetail/detail/804551456/overview/
7097,1,USED,2002,Mercury,Grand Marquis LS Premium,,3997,Gasoline,Red,,Beige,,RWD,4-Speed Automatic,4.6,8,57492,4.7,https://www.cars.com/vehicledetail/detail/797260727/overview/
7097,1,USED,2018,Lincoln,Navigator L Reserve,,61888,Gasoline,White Platinum Tri-Coat Metallic,,Cappuccino,,4WD,10-Speed Automatic,3.5,6,35409,5,https://www.cars.com/vehicledetail/detail/801283494/overview/
7097,1,USED,2006,Lexus,SC 430,,13224,Gasoline,Blue,19,Camel,25,RWD,6-Speed Automatic,4.3,8,106105,4.8,https://www.cars.com/vehicledetail/detail/805060411/overview/
7097,1,USED,2019,Hyundai,Santa Fe XL Limited Ultimate,,28790,Gasoline,Iron Frost,18,Gray,23,FWD,Automatic,,,24858,4.8,https://www.cars.com/vehicledetail/detail/801313309/overview/?isShippableInsideSearchRadius
7097,1,USED,2010,Acura,ZDX,,14895,Gasoline,Gray,16,Umber,23,AWD,6-Speed Automatic,3.7,6,115511,4.8,https://www.cars.com/vehicledetail/detail/805214653/overview/
7097,2,NEW,2020,Chevrolet,Trax LT,,21749,Gasoline,Summit White,26,Jet Black,31,AWD,6-Speed Automatic,1.4,6,0,4.6,https://www.cars.com/vehicledetail/detail/796123794/overview/
7097,2,USED,2014,RAM,ProMaster 3500 Tradesman,,17595,Gasoline,Granite Crystal Clearcoat Metallic,,Gray,,FWD,6-Speed Automatic,3.6,6,76050,3,https://www.cars.com/vehicledetail/detail/806454287/overview/
7097,2,NEW,2020,Ford,EcoSport SE,,23790,Gasoline,Shadow Black,27,Ebony,29,4WD,Automatic,,,0,4.2,https://www.cars.com/vehicledetail/detail/788028292/overview/
