Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Nightfall Gray,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/798902792/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Gray Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/794463239/overview/
33101,1,USED,2013,Scion,xD,,11490,Gasoline,White,,Black,,FWD,5-Speed Manual,1.8,6,40379,4,https://www.cars.com/vehicledetail/detail/808501724/overview/?isShippableInsideSearchRadius
33101,1,NEW,2020,Chevrolet,Trax LS,,18398,Gasoline,Silver Ice Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,11,4.6,https://www.cars.com/vehicledetail/detail/795306576/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12065,Gasoline,Black,29,Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/794463341/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Raspberry,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/803085172/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12417,Gasoline,Orange,29,Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/788030510/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18854,Gasoline,Black,26,Black,31,FWD,6-Speed Automatic,1.4,6,9,4.6,https://www.cars.com/vehicledetail/detail/799587858/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18403,Gasoline,Steel Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/795925535/overview/
33101,1,NEW,2020,Chevrolet,Spark 1LT,,14393,Gasoline,Black,29,Jet Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/789894029/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Silver Ice,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/802092094/overview/
33101,1,USED,2017,Nissan,Altima 2.5 SV,,6995,Gasoline,,27,,39,FWD,"Automatic, Xtronic CVT",,,44213,4.8,https://www.cars.com/vehicledetail/detail/786677723/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18403,Gasoline,Black,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/799935365/overview/
33101,1,USED,2006,INFINITI,M45 Sport,,4977,Gasoline,Twilight Blue Pearl,17,Gray,23,RWD,5-Speed Automatic,4.5,8,180786,5,https://www.cars.com/vehicledetail/detail/781157249/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Red Hot,29,Jet Black/Jet Black,38,FWD,Automatic,,,6,4.9,https://www.cars.com/vehicledetail/detail/798018926/overview/
33101,1,USED,2018,RAM,ProMaster 2500 High Roof,,19800,Gasoline,Bright White Clearcoat,,Black,,FWD,6-Speed Automatic,3.6,6,40575,4,https://www.cars.com/vehicledetail/detail/787116952/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Mosaic Black,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/806267963/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12065,Gasoline,Black,29,Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/789894048/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Nightfall Gray,29,Jet Black/Jet Black,38,FWD,Automatic,,,12,4.9,https://www.cars.com/vehicledetail/detail/800459762/overview/
33101,1,USED,2013,Chevrolet,Express 2500 Work Van,,10479,Gasoline,White,11,Gray,17,RWD,6-Speed Automatic,4.8,8,142000,3.5,https://www.cars.com/vehicledetail/detail/807364804/overview/
33101,1,NEW,2020,Chevrolet,Spark LT,,14407,Gasoline,Nightfall Gray,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,7,4.9,https://www.cars.com/vehicledetail/detail/806267771/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Black,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/799587987/overview/
33101,1,USED,2020,Lamborghini,Urus Base,,259950,Gasoline,Bianco Monocerus,12,Nero Ade,17,AWD,8-Speed Automatic,4.0,8,362,,https://www.cars.com/vehicledetail/detail/806218399/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12417,Gasoline,Caribbean Blue,29,Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/789894049/overview/
33101,1,USED,2006,INFINITI,G35 Base,,4494,Gasoline,Black,,Wheat,,RWD,,3.5,6,140801,4.5,https://www.cars.com/vehicledetail/detail/803842816/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Summit White,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/802092099/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12708,Gasoline,Caribbean Blue,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/802811363/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/800116037/overview/
33101,1,USED,2018,Ford,Fiesta S Sedan 4D,,5500,Gasoline,,,,,FWD,"Auto, 6-Spd SelectShift",,,8390,4.6,https://www.cars.com/vehicledetail/detail/786677807/overview/
33101,1,USED,2016,BMW,i8 Base,,64850,Hybrid,,,,,AWD,6-Speed Automatic,1.5,2,38820,5,https://www.cars.com/vehicledetail/detail/790216065/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/798407254/overview/
33101,1,USED,2017,Ford,Escape SE,,13999,Gasoline,Magnetic Metallic,23,Charcoal Black,30,4WD,6-Speed Automatic,1.5,6,20444,4.7,https://www.cars.com/vehicledetail/detail/789149305/overview/?isShippableInsideSearchRadius
33101,1,NEW,2020,Chevrolet,Trax LS,,18993,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/800413494/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Gray Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,10,4.6,https://www.cars.com/vehicledetail/detail/794463244/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18854,Gasoline,Gray Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,10,4.6,https://www.cars.com/vehicledetail/detail/789893919/overview/
33101,1,NEW,2020,Toyota,Yaris LE,,,Gasoline,Graphite,32,GRY FABRIC,40,FWD,Automatic,,,0,5,https://www.cars.com/vehicledetail/detail/792042977/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18854,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,30,4.6,https://www.cars.com/vehicledetail/detail/798407237/overview/
33101,1,USED,2011,Bentley,Continental GTC Speed,,64900,E85 Flex Fuel,Midnight Emerald Metallic,10,Beluga,17,AWD,6-Speed Automatic,6.0,8,44264,5,https://www.cars.com/vehicledetail/detail/808420638/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Silver Ice,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/798031789/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18993,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/800413547/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Black,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/799587988/overview/
33101,1,USED,2017,Nissan,Sentra SV,,5500,Gasoline,,29,,37,FWD,"Auto, CVT w/Xtronic",,,24510,4.7,https://www.cars.com/vehicledetail/detail/795234955/overview/
33101,1,NEW,2019,Nissan,Versa S Plus,,13014,Gasoline,Super Black,31,Charcoal,39,FWD,Variable,,,10,4.5,https://www.cars.com/vehicledetail/detail/755753389/overview/
33101,1,NEW,2018,Ford,Transit-350 Base,,34995,Gasoline,Oxford White,,Pewter,,RWD,Automatic,,,5,3.9,https://www.cars.com/vehicledetail/detail/742524350/overview/
33101,1,USED,2020,Chevrolet,Malibu LT,,14795,Gasoline,Black Metallic,29,Dark Atmosphere,36,FWD,Automatic CVT,1.5,6,7383,4.8,https://www.cars.com/vehicledetail/detail/805555445/overview/
33101,1,NEW,2020,Chevrolet,Spark LT,,14407,Gasoline,Toasted Marshmallow,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,7,4.9,https://www.cars.com/vehicledetail/detail/806267838/overview/
33101,1,USED,2013,Nissan,Maxima SV,,8879,Gasoline,Metallic Slate,19,Black,26,FWD,Automatic CVT,3.5,6,65200,4.6,https://www.cars.com/vehicledetail/detail/804267035/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18890,Gasoline,Silver Ice Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,10,4.6,https://www.cars.com/vehicledetail/detail/789664823/overview/
33101,1,USED,2014,Nissan,Maxima SV,,6995,Gasoline,,19,,26,FWD,"Automatic, CVT",,6,88942,4.7,https://www.cars.com/vehicledetail/detail/791263557/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Summit White,29,Jet Black/Jet Black,38,FWD,Automatic,,,7,4.9,https://www.cars.com/vehicledetail/detail/804127147/overview/
33101,1,USED,2008,Ford,Crown Victoria Police Interceptor,,3995,E85 Flex Fuel,Titanium,,Tan,,RWD,4-Speed Automatic,4.6,8,90403,4.5,https://www.cars.com/vehicledetail/detail/795644643/overview/
33101,1,USED,2010,Lexus,IS 250,,6990,Gasoline,Mercury Metallic,18,Black,26,RWD,6-Speed Automatic,2.5,6,79986,4.6,https://www.cars.com/vehicledetail/detail/795437808/overview/
33101,1,USED,2015,Chevrolet,Impala 1LT,,8990,Gasoline,,22,,31,FWD,"Auto, 6-Spd Overdrive",,,19298,4.7,https://www.cars.com/vehicledetail/detail/786677857/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12065,Gasoline,Summit White,29,Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/788174860/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Passion Fruit,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/798902651/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Raspberry,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/799296206/overview/
33101,1,USED,2018,Chevrolet,Cruze LT,,6995,Gasoline,,27,,40,FWD,"Automatic, 6-Spd",,,26600,4.7,https://www.cars.com/vehicledetail/detail/797253623/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Mosaic Black,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/802066429/overview/
33101,1,NEW,2020,Nissan,Versa S,,15740,Gasoline,Black,27,Charcoal,35,FWD,Automatic CVT,1.6,6,12,4.6,https://www.cars.com/vehicledetail/detail/798552323/overview/
33101,1,NEW,2019,Chevrolet,Trax Premier,,24167,Gasoline,Silver Ice Metallic,24,Jet Black,29,FWD,6-Speed Automatic,1.4,6,31,4.3,https://www.cars.com/vehicledetail/detail/770166158/overview/
33101,1,NEW,2020,Chevrolet,Spark LT,,14407,Gasoline,Raspberry,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,7,4.9,https://www.cars.com/vehicledetail/detail/806416126/overview/
33101,1,USED,2018,Chrysler,Pacifica Hybrid Touring Plus,,29690,Hybrid,Bright White Clearcoat,,Alloy/Black,,FWD,Automatic,,,9956,4.7,https://www.cars.com/vehicledetail/detail/741112826/overview/
33101,1,NEW,2020,Chevrolet,Spark LT,,14407,Gasoline,Toasted Marshmallow,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/806946201/overview/
33101,1,NEW,2020,Chevrolet,Spark 1LT,,14500,Gasoline,Passion,29,Jet Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/806761624/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/798407169/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Silver Ice Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,10,4.6,https://www.cars.com/vehicledetail/detail/794463251/overview/
33101,1,NEW,2020,Chevrolet,Malibu 1LS,,21408,Gasoline,Black Metallic,29,Jet Black,36,FWD,Automatic CVT,1.5,6,5,4.8,https://www.cars.com/vehicledetail/detail/806464075/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Gray Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,3959,4.6,https://www.cars.com/vehicledetail/detail/788030513/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,19908,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5551,4.6,https://www.cars.com/vehicledetail/detail/800150544/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/798407168/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18403,Gasoline,Gray Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/795925302/overview/
33101,1,USED,2016,Nissan,Maxima 3.5 SR,,14979,Gasoline,Brilliant Silver,22,Charcoal,30,FWD,Automatic CVT,3.5,6,21200,4.7,https://www.cars.com/vehicledetail/detail/804267075/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12708,Gasoline,Caribbean Blue,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/798031875/overview/
33101,1,USED,2016,Cadillac,ATS 2.0L Turbo Luxury,,16479,Gasoline,Black,22,Black,30,RWD,8-Speed Automatic,2.0,6,16500,4.6,https://www.cars.com/vehicledetail/detail/804267057/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Black,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/798407160/overview/
33101,1,NEW,2020,Chevrolet,Spark LT,,14407,Gasoline,Summit White,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,7,4.9,https://www.cars.com/vehicledetail/detail/806416125/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Passion Fruit,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/801898269/overview/
33101,1,USED,2004,Nissan,350Z Touring,,6995,Gasoline,Blue,19,Black,26,RWD,5-Speed Automatic,3.5,6,160333,4.8,https://www.cars.com/vehicledetail/detail/804134148/overview/
33101,1,USED,2012,Mercedes-Benz,R 350 4MATIC,,15900,Gasoline,Silver,,Almond Beige,,AWD,7-Speed Automatic,3.5,6,63872,4.5,https://www.cars.com/vehicledetail/detail/808417601/overview/
33101,1,USED,2015,Buick,Enclave Leather,,8995,Gasoline,,16,,22,FWD,"Automatic, 6-Spd w/Overdrive",,6,79898,4.5,https://www.cars.com/vehicledetail/detail/795667046/overview/
33101,1,USED,2015,Nissan,Altima 2.5 S,,5995,Gasoline,,27,,38,FWD,"Automatic, Xtronic CVT",,,49822,4.6,https://www.cars.com/vehicledetail/detail/795667042/overview/
33101,1,NEW,2020,Chevrolet,Spark LT,,14407,Gasoline,Silver Ice,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,7,4.9,https://www.cars.com/vehicledetail/detail/808211153/overview/
33101,1,NEW,2020,Chevrolet,Trax LS,,18407,Gasoline,Silver Ice Metallic,26,Black,31,FWD,6-Speed Automatic,1.4,6,10,4.6,https://www.cars.com/vehicledetail/detail/789894042/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12309,Gasoline,Gray,29,Black,38,FWD,Automatic CVT,1.4,6,16,4.9,https://www.cars.com/vehicledetail/detail/789894289/overview/
33101,1,NEW,2020,Chevrolet,Spark LS,,12708,Gasoline,Caribbean Blue,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/802066182/overview/
33101,2,NEW,2020,GMC,Savana 2500 Work Van,,29990,E85 Flex Fuel,Summit White,,Medium Pewter,,RWD,Automatic,6.0,8,9,,https://www.cars.com/vehicledetail/detail/787026902/overview/
33101,2,USED,2015,Aston,Martin Rapide S Base,,64990,Gasoline,,14,,22,RWD,8-Speed Automatic,6.0,12,26899,,https://www.cars.com/vehicledetail/detail/795908732/overview/
33101,2,NEW,2019,Dodge,Journey GT,,27132,Gasoline,White,16,Red,24,AWD,Automatic,3.6,6,11,3.8,https://www.cars.com/vehicledetail/detail/798467776/overview/
33101,2,NEW,2020,Nissan,Rogue SV,,25774,Gasoline,Caspian Blue,26,Charcoal,33,FWD,Automatic CVT,2.5,6,12,4.6,https://www.cars.com/vehicledetail/detail/798482525/overview/
33101,2,NEW,2020,Chevrolet,Trax LS,,18997,Gasoline,Summit White,26,Black,31,FWD,6-Speed Automatic,1.4,6,5,4.6,https://www.cars.com/vehicledetail/detail/800413905/overview/
33101,2,USED,2019,Lamborghini,Urus Base,,229950,Gasoline,White,12,Red,17,AWD,8-Speed Automatic,4.0,8,12929,5,https://www.cars.com/vehicledetail/detail/807516242/overview/
33101,2,USED,2017,Maserati,Levante Base,,40599,Gasoline,Black,14,Black,20,AWD,8-Speed Automatic,3.0,6,32194,4.2,https://www.cars.com/vehicledetail/detail/794745294/overview/
33101,2,NEW,2020,Nissan,Rogue SV,,27244,Gasoline,Magnetic Black,26,Charcoal,33,FWD,Automatic CVT,2.5,6,12,4.6,https://www.cars.com/vehicledetail/detail/802578569/overview/
33101,2,USED,2010,Kia,Rio LX,,3995,Gasoline,Silver,28,Gray,34,FWD,4-Speed Automatic,1.6,6,91728,3.7,https://www.cars.com/vehicledetail/detail/808578772/overview/
33101,2,NEW,2020,Dodge,Grand Caravan SE,,26923,Gasoline,Indigo Blue,17,Black / Light Graystone,25,FWD,Automatic,3.6,6,20,4,https://www.cars.com/vehicledetail/detail/804874339/overview/
33101,2,NEW,2020,Kia,Forte FE,,16560,Gasoline,Gray,31,Black,41,FWD,Automatic CVT,2.0,6,5,4.5,https://www.cars.com/vehicledetail/detail/785067800/overview/
33101,2,NEW,2020,Chevrolet,Spark LS,,12344,Gasoline,Silver Ice,29,Jet Black/Jet Black,38,FWD,Automatic,,,10,4.9,https://www.cars.com/vehicledetail/detail/801898268/overview/
33101,2,NEW,2020,Kia,Forte FE,,16440,Gasoline,Clear White,31,Black,41,FWD,Automatic CVT,2.0,6,10,4.5,https://www.cars.com/vehicledetail/detail/794354639/overview/
33101,2,NEW,2020,Mercedes-Benz,GLS 580 Base 4MATIC,,,Gasoline,Black,16,Black,21,AWD,9-Speed Automatic,4.0,8,4,5,https://www.cars.com/vehicledetail/detail/807165658/overview/
33101,2,USED,2018,BMW,X1 sDrive28i,,22800,Gasoline,Mineral Gray Metallic,23,Mocha,32,FWD,8-Speed Automatic,2.0,6,18281,4.8,https://www.cars.com/vehicledetail/detail/803125860/overview/
33101,2,USED,2016,INFINITI,Q70 3.7X,,21997,Gasoline,Gun Metallic,18,Graphite,24,AWD,7-Speed Automatic,3.7,6,63155,5,https://www.cars.com/vehicledetail/detail/805121272/overview/
