Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
07097,1,USED,2018,GMC,Acadia SLE-2,,17900,Gasoline,Quicksilver Metallic,21,Jet Black,26,AWD,6-Speed Automatic,2.5,6,16154,4.7,https://www.cars.com/vehicledetail/detail/788423361/overview/
07097,1,USED,2019,INFINITI,QX80 Luxe,,26500,Gasoline,Graphite Shadow,14,Graphite,20,AWD,7-Speed Automatic,5.6,8,18,4.8,https://www.cars.com/vehicledetail/detail/802141553/overview/
07097,1,USED,2013,Nissan,Sentra SR,,5995,Gasoline,Magnetic Gray,30,Black,39,FWD,Automatic CVT,1.8,6,76230,3.8,https://www.cars.com/vehicledetail/detail/750742447/overview/
07097,1,USED,2009,INFINITI,FX35,,10995,Gasoline,Black Obsidian,16,Black,23,AWD,7-Speed Automatic,3.5,6,89789,4.6,https://www.cars.com/vehicledetail/detail/777202147/overview/
07097,1,USED,2018,Bentley,Bentayga Onyx Edition,,136800,Gasoline,White,12,Saddle Brown,19,AWD,8-Speed Automatic,6.0,8,26604,5,https://www.cars.com/vehicledetail/detail/800875218/overview/
07097,1,USED,2001,Ferrari,360 Spider F1,,57000,Gasoline,Yellow,,Beige,,AWD,Automatic,,,9100,4.2,https://www.cars.com/vehicledetail/detail/801456309/overview/
07097,1,USED,2019,BMW,X7 xDrive40i,,69800,Gasoline,Carbon Black Metallic,20,Ivory White,25,AWD,8-Speed Automatic,3.0,4,9853,4,https://www.cars.com/vehicledetail/detail/807344903/overview/
07097,1,USED,2013,Volkswagen,CC 2.0T Sport Plus,,6895,Gasoline,Brown,22,Desert Beige,31,FWD,6-Speed Automatic with Auto-Shift,2.0,6,76290,4.6,https://www.cars.com/vehicledetail/detail/798063692/overview/
07097,1,USED,2012,Porsche,Panamera 4,,16500,Gasoline,Blue,18,Brown,26,AWD,7-Speed Automatic with Auto-Shift,3.6,6,120300,4.9,https://www.cars.com/vehicledetail/detail/808617169/overview/
07097,1,USED,2006,Lexus,SC 430,,13224,Gasoline,Blue,19,Camel,25,RWD,6-Speed Automatic,4.3,8,106105,4.8,https://www.cars.com/vehicledetail/detail/805060411/overview/
07097,1,USED,2014,Nissan,Murano CrossCabriolet Base,,15995,Gasoline,Midnight Garnet Metallic,17,Black,22,AWD,Automatic CVT,3.5,6,39535,4.5,https://www.cars.com/vehicledetail/detail/803478997/overview/
07097,1,USED,2004,Saab,9-3 Aero,,4895,Gasoline,Steel Gray Metallic,22,Charcoal Gray,30,FWD,6-Speed Manual,2.0,6,77326,4.5,https://www.cars.com/vehicledetail/detail/805108252/overview/
07097,1,USED,2013,Volkswagen,CC 3.6L VR6 Lux,,9995,Gasoline,Black,17,Black,27,FWD,6-Speed Automatic,3.6,6,76650,4.6,https://www.cars.com/vehicledetail/detail/805469648/overview/
07097,1,USED,2016,Nissan,NV Cargo NV2500 HD SV V6/SV V8,,14900,Gasoline,Glacier White,,Gray,,RWD,5-Speed Automatic,4.0,6,58936,5,https://www.cars.com/vehicledetail/detail/806482327/overview/
07097,1,USED,2016,Mercedes-Benz,Maybach S S 600,,69900,Gasoline,Black,13,Black,20,RWD,7-Speed Automatic,6.0,12,47029,,https://www.cars.com/vehicledetail/detail/796884697/overview/
07097,1,USED,2017,Genesis,G90 3.3T Premium,,34495,Gasoline,Casablanca White,17,Black,24,RWD,8-Speed Automatic,3.3,6,27818,4.7,https://www.cars.com/vehicledetail/detail/802628173/overview/
07097,1,USED,2010,Acura,ZDX,,14895,Gasoline,Gray,16,Umber,23,AWD,6-Speed Automatic,3.7,6,115511,4.8,https://www.cars.com/vehicledetail/detail/805214653/overview/
