Zipcode,NewUsed,Year,Make,Dealer_Price,Fuel_Type,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Customer_Review,Make_Tier,Standard_Ext_Color,Standard_Int_Color,Transmission_Type,Gears
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,0,2,1,6.0
5,1,2019,43,26500.0,1,24.0,30.0,0,2.0,2.0,717.0,3.2,1,8,2,1,9.0
5,1,2009,0,2900.0,1,29.0,36.0,0,1.5,1.5,83699.0,4.7,1,4,2,1,4.0
5,1,2019,5,17500.0,1,22.0,32.0,0,2.0,2.0,926.0,4.4,1,9,2,1,9.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,0,2020,5,20273.0,1,26.0,31.0,0,1.4,1.4,0.0,4.6,1,0,2,1,6.0
5,1,2018,7,13800.0,2,124.0,94.0,3,2.3,2.3,8667.0,4.2,4,4,7,1,1.0
5,1,2019,21,17500.0,1,25.0,32.0,0,2.0,2.0,16.0,4.9,2,9,2,0,6.0
5,1,2002,15,3997.0,1,25.0,31.0,3,4.6,4.6,57492.0,4.7,3,6,8,1,4.0
5,1,2018,9,59950.0,1,15.0,22.0,1,4.0,4.0,11001.0,5.0,2,4,4,1,9.0
5,1,2009,19,3995.0,1,25.0,31.0,0,3.2,3.2,116964.0,4.6,2,8,1,1,6.0
5,1,2010,34,13985.0,1,16.0,23.0,1,3.7,3.7,98665.0,4.8,3,0,2,1,6.0
5,0,2020,5,22116.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,6,2,1,6.0
5,1,2006,13,25999.0,1,19.0,25.0,1,2.0,2.0,95225.0,4.7,2,8,2,0,5.0
5,1,2015,4,24495.0,1,16.0,24.0,1,3.0,3.0,54355.0,5.0,2,2,1,1,8.0
5,1,2018,16,136800.0,1,12.0,19.0,1,6.0,6.0,26604.0,5.0,3,9,8,1,8.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,0,2,1,6.0
5,1,2018,34,19999.0,1,20.0,32.0,0,3.5,3.5,30314.0,4.6,3,0,1,1,9.0
5,1,2010,9,13900.0,1,25.0,31.0,3,3.5,3.5,38984.0,4.7,2,7,1,1,7.0
5,1,2019,43,26500.0,1,24.0,30.0,0,2.0,2.0,345.0,3.2,1,7,1,1,9.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,1,2017,41,25989.0,1,21.0,32.0,3,3.0,3.0,40369.0,4.8,2,0,2,0,6.0
5,1,2016,33,15500.0,1,18.0,26.0,1,3.5,3.5,42555.0,4.6,1,9,8,1,6.0
5,1,2018,47,17888.0,1,26.0,30.0,0,1.5,1.5,18618.0,4.7,1,4,2,1,9.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,1,2017,16,153500.0,1,12.0,19.0,1,6.0,6.0,10122.0,4.8,3,0,1,1,8.0
5,1,2012,16,98760.0,0,11.0,18.0,3,6.8,6.8,33548.0,5.0,3,4,2,1,8.0
5,1,2004,40,4995.0,1,15.0,19.0,1,4.5,4.5,165000.0,4.8,2,2,2,1,5.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,1,2004,15,3997.0,1,16.0,23.0,0,4.2,4.2,88732.0,3.8,3,4,0,1,4.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,1,2019,22,34900.0,1,19.0,24.0,2,5.7,5.7,66.0,4.8,1,4,2,1,8.0
5,0,2020,5,21341.0,1,26.0,31.0,0,1.4,1.4,0.0,4.6,1,7,2,1,6.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,1,2015,33,19985.0,1,19.0,28.0,2,3.5,3.5,54652.0,4.8,1,7,2,1,6.0
5,1,2018,44,27998.0,1,22.0,28.0,1,2.0,2.0,28643.0,4.8,2,2,4,1,6.0
5,1,2009,40,12404.0,1,14.0,20.0,1,5.0,5.0,112675.0,4.9,2,7,3,1,7.0
5,1,2013,5,5995.0,1,25.0,35.0,0,1.8,1.8,71804.0,4.2,1,8,2,1,6.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,0,2020,5,20273.0,1,26.0,31.0,0,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,1,2016,9,17500.0,1,21.0,24.0,3,2.0,2.0,36201.0,5.0,2,4,2,1,7.0
5,1,2019,9,13500.0,1,21.0,24.0,3,2.0,2.0,3466.0,3.7,2,9,0,1,7.0
5,1,2012,33,6995.0,1,23.0,34.0,0,2.4,2.4,106765.0,4.5,1,4,2,1,5.0
5,1,2011,4,25200.0,1,15.0,22.0,3,5.0,5.0,21046.0,5.0,2,0,2,1,6.0
5,0,2020,5,20990.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,1,2015,8,14899.0,1,25.0,31.0,3,2.0,2.0,9189.0,4.4,3,10,2,0,6.0
5,0,2020,5,20273.0,1,26.0,31.0,0,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,0,2020,5,19295.0,1,26.0,31.0,0,1.4,1.4,2.0,4.6,1,7,2,1,6.0
5,1,2015,0,13808.0,1,20.0,26.0,1,2.7,2.7,45221.0,4.8,1,4,2,1,6.0
5,0,2020,5,21341.0,1,26.0,31.0,0,1.4,1.4,0.0,4.6,1,7,2,1,6.0
5,1,2018,31,13500.0,1,25.0,35.0,0,2.4,2.4,11.0,4.8,1,9,8,1,6.0
5,1,2017,34,26000.0,3,26.0,27.0,1,3.0,3.0,61058.0,4.7,3,4,2,1,7.0
5,0,2020,5,20056.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,1,2016,41,14905.0,1,22.0,32.0,1,2.0,2.0,36343.0,4.6,2,9,1,1,8.0
5,0,2019,13,38125.0,3,25.0,31.0,2,2.0,2.0,11.0,4.6,2,7,2,1,1.0
5,1,2014,0,13500.0,1,18.0,25.0,0,3.5,3.5,60062.0,4.6,1,0,2,1,6.0
5,0,2020,5,22116.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,6,2,1,6.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,1,2004,47,3995.0,1,15.0,19.0,2,4.2,4.2,115326.0,4.5,1,5,1,1,4.0
5,0,2020,5,20056.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,1,2012,29,6499.0,1,25.0,31.0,1,2.0,2.0,119487.0,4.6,2,4,8,1,8.0
5,1,2014,17,8500.0,1,25.0,33.0,0,1.4,1.4,102757.0,4.1,3,0,2,1,6.0
5,1,2018,14,16795.0,1,19.0,25.0,0,2.4,2.4,6325.0,4.7,1,4,2,1,4.0
5,0,2020,5,20273.0,1,26.0,31.0,0,1.4,1.4,0.0,4.6,1,4,2,1,6.0
