Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
58001,1,USED,2016,Chevrolet,Silverado 1500 LT,,27490,Gasoline,Tungsten Metallic,,Jet Black,,4WD,6-Speed Automatic,5.3,8,22107,4.7,https://www.cars.com/vehicledetail/detail/790770217/overview/
58001,1,USED,2016,RAM,1500 Big Horn,,25000,Gasoline,Bright White Clearcoat,,Black / Diesel Gray,,4WD,8-Speed Automatic,5.7,8,57263,4.6,https://www.cars.com/vehicledetail/detail/795859257/overview/
58001,1,USED,2016,Chevrolet,Malibu Limited LT,,14490,Gasoline,Red Metallic,24,Jet Black,34,FWD,6-Speed Automatic,2.5,6,28115,4.7,https://www.cars.com/vehicledetail/detail/799570863/overview/
58001,1,USED,2018,Buick,Encore Preferred,,18990,Gasoline,Summit White,25,Ebony,33,AWD,6-Speed Automatic,1.4,6,4057,4.8,https://www.cars.com/vehicledetail/detail/800394991/overview/
58001,1,USED,2014,Chevrolet,Impala 2LT,,11990,E85 Flex Fuel,Champagne Silver,19,Jet Black,29,FWD,6-Speed Automatic,3.6,6,91129,4.5,https://www.cars.com/vehicledetail/detail/783232835/overview/
58001,1,USED,2019,Chevrolet,Tahoe LT,,45990,Gasoline,Summit White,15,Jet Black,22,4WD,6-Speed Automatic,5.3,8,21257,4.4,https://www.cars.com/vehicledetail/detail/801104445/overview/
58001,1,USED,2014,Chevrolet,Traverse 1LT,,14000,Gasoline,Atlantis Blue Metallic,16,Ebony,23,AWD,6-Speed Automatic,3.6,6,90013,4.7,https://www.cars.com/vehicledetail/detail/803657978/overview/
58001,1,USED,2015,Toyota,Highlander XLE,,20490,Gasoline,White,19,Ash,25,AWD,6-Speed Automatic,3.5,6,97500,4.7,https://www.cars.com/vehicledetail/detail/801432368/overview/
58001,1,USED,2015,GMC,Terrain Denali,,17990,Gasoline,Summit White,22,Jet Black,32,AWD,6-Speed Automatic,3.6,6,64283,4.7,https://www.cars.com/vehicledetail/detail/805457494/overview/
58001,1,USED,2011,Chevrolet,Silverado 1500 LT,,11490,E85 Flex Fuel,Victory Red,13,Ebony,18,4WD,Automatic,5.3,8,139629,4.6,https://www.cars.com/vehicledetail/detail/804639661/overview/
58001,1,USED,2017,Chevrolet,Cruze LT,,14490,Gasoline,Mosaic Black Metallic,28,Jet Black,39,FWD,6-Speed Automatic,1.4,6,23832,4.8,https://www.cars.com/vehicledetail/detail/805457539/overview/
58001,1,USED,2013,Chevrolet,Impala LS,,5990,Gasoline,Black,18,Ebony,30,FWD,6-Speed Automatic,3.6,6,141072,4.3,https://www.cars.com/vehicledetail/detail/802847557/overview/
58001,1,USED,2017,GMC,Sierra 1500 SLT,,34990,Gasoline,Cardinal Red,16,Jet Black,23,4WD,Automatic,5.3,8,34155,4.7,https://www.cars.com/vehicledetail/detail/797129381/overview/
58001,1,USED,2010,Toyota,Camry LE,,6990,Gasoline,Magnetic Gray Metallic,22,Ash,33,FWD,6-Speed,2.5,6,123872,4.6,https://www.cars.com/vehicledetail/detail/797459433/overview/
