Zipcode,NewUsed,Year,Make,Model,Dealer_Price,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Standard_Ext_Color,Standard_Int_Color,Transmission_Type
7097,NEW,2020,Chevrolet,Trax LS,20056.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_black,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LS,20056.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_gray,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Nissan,Rogue SV,28676.0,26.0,33.0,AWD,2.5,2.5,6.0,Ext_silver,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_gray,Int_black,automatic
7097,NEW,2020,Nissan,Rogue SV,30480.0,26.0,33.0,AWD,2.5,2.5,6.0,Ext_white,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,20273.0,26.0,31.0,FWD,1.4,1.4,0.0,Ext_gray,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,22116.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_red,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_gray,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Nissan,Rogue SV,30395.0,26.0,33.0,AWD,2.5,2.5,6.0,Ext_blue,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21341.0,26.0,31.0,FWD,1.4,1.4,0.0,Ext_silver,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,21749.0,26.0,31.0,AWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Chevrolet,Trax LT,20273.0,26.0,31.0,FWD,1.4,1.4,0.0,Ext_white,Int_black,automatic
7097,NEW,2020,Nissan,Rogue SV,29026.0,26.0,33.0,AWD,2.5,2.5,7.0,Ext_white,Int_black,automatic
