Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
87101,1,NEW,2020,Ford,EcoSport SE,,22796,Gasoline,Shadow Black,27,Ebony Black,29,FWD,6-Speed Automatic,1.0,2,7,4.2,https://www.cars.com/vehicledetail/detail/806636360/overview/
87101,1,NEW,2020,Chevrolet,Trax LS,,16997,Gasoline,Summit White,26,Jet Black,31,AWD,Automatic,,,7,4.6,https://www.cars.com/vehicledetail/detail/804665711/overview/
87101,1,NEW,2020,Nissan,Versa S,,17485,Gasoline,Cloud White,27,Charcoal,35,FWD,Automatic CVT,1.6,6,7,4.5,https://www.cars.com/vehicledetail/detail/793610694/overview/
87101,1,NEW,2020,Nissan,Kicks SV,,20295,Gasoline,Super Black,31,Charcoal,36,FWD,Automatic CVT,1.6,6,9,4,https://www.cars.com/vehicledetail/detail/797485926/overview/
87101,1,NEW,2020,MINI,Hardtop Cooper S,,,Gasoline,British Racing Green,26,Satellite Gray,35,FWD,7-Speed Automatic with Auto-Shift,2.0,6,17,,https://www.cars.com/vehicledetail/detail/805705238/overview/
87101,1,USED,2012,Honda,Crosstour EX-L V6,,12950,Gasoline,White,21,,29,FWD,5-Speed Automatic,3.5,6,72575,4.9,https://www.cars.com/vehicledetail/detail/806035361/overview/
87101,1,NEW,2020,Nissan,Kicks S,,20040,Gasoline,Brilliant Silver,31,Charcoal,36,FWD,Automatic CVT,1.6,6,9,4,https://www.cars.com/vehicledetail/detail/798409966/overview/
87101,1,NEW,2020,Ford,EcoSport S,,18954,Gasoline,Diamond White,23,Medium Stone,29,FWD,6-Speed Automatic,1.0,2,8,4.2,https://www.cars.com/vehicledetail/detail/804040544/overview/
87101,1,NEW,2020,Nissan,Versa 1.6 SV,,,Gasoline,Gun Metallic,32,Graphite,40,FWD,Automatic CVT,1.6,6,7,4.5,https://www.cars.com/vehicledetail/detail/788143803/overview/
87101,1,NEW,2020,Nissan,Kicks S,,19465,Gasoline,Super Black,31,Charcoal,36,FWD,Automatic CVT,1.6,6,7,4,https://www.cars.com/vehicledetail/detail/798673573/overview/
87101,1,NEW,2020,Volvo,V60 Cross Country T5,,45490,Gasoline,Crystal White,22,Amber,31,AWD,8-Speed Automatic,2.0,6,10,4.4,https://www.cars.com/vehicledetail/detail/790561400/overview/
87101,1,NEW,2020,Chevrolet,Spark LT,,14997,Gasoline,Mosaic Black,,Jet Black/Dark Anderson Silver Metallic,,FWD,Automatic,,,5,4.9,https://www.cars.com/vehicledetail/detail/805939168/overview/
87101,1,NEW,2020,Ford,EcoSport SE,,22232,Gasoline,Blue Candy Metallic Tinted Clearcoat,27,Medium Stone,29,FWD,6-Speed Automatic,1.0,2,8,4.2,https://www.cars.com/vehicledetail/detail/803088825/overview/
87101,1,NEW,2020,Nissan,Versa 1.6 SV,,,Gasoline,Black,32,Graphite,40,FWD,Automatic CVT,1.6,6,9,4.5,https://www.cars.com/vehicledetail/detail/783808854/overview/
87101,1,NEW,2020,Nissan,Kicks SV,,20790,Gasoline,Deep Blue Pearl,31,Charcoal,36,FWD,Automatic CVT,1.6,6,7,4,https://www.cars.com/vehicledetail/detail/797112541/overview/
