Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
70032,1,NEW,2020,Chevrolet,Spark 1LT,,15571,Gasoline,Mosaic Black Metallic,29,Jet Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/802234293/overview/
70032,1,NEW,2020,Dodge,Journey SE Value,,21491,Gasoline,Blue Pearl,,Black,,FWD,4-Speed Automatic,2.4,6,2,5,https://www.cars.com/vehicledetail/detail/808358785/overview/
70032,1,NEW,2020,Hyundai,Accent SE,,16435,Gasoline,Urban Gray,29,Black,39,FWD,Automatic CVT,1.6,6,7,4.6,https://www.cars.com/vehicledetail/detail/807465927/overview/
70032,1,NEW,2020,Chevrolet,Spark 1LT,,14974,Gasoline,Silver Ice Metallic,29,Jet Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/800725128/overview/
70032,1,NEW,2020,Nissan,Kicks SV,,20649,Gasoline,Gun Metallic,31,Charcoal,36,FWD,Automatic CVT,1.6,6,10,4,https://www.cars.com/vehicledetail/detail/799082604/overview/
70032,1,NEW,2019,Cadillac,XT4 Sport,,41094,Gasoline,Stellar Black Metallic,24,Jet Black,30,FWD,9-Speed Automatic,2.0,6,125,3.2,https://www.cars.com/vehicledetail/detail/778042193/overview/
70032,1,NEW,2020,Nissan,Rogue Sport SV,,24742,Gasoline,Gun Metallic,25,Charcoal,32,FWD,Automatic CVT,2.0,6,10,4.7,https://www.cars.com/vehicledetail/detail/799209211/overview/
70032,1,NEW,2019,Cadillac,XT4 Sport,,34460,Gasoline,Twilight Blue Metallic,24,Jet Black,30,FWD,9-Speed Automatic,2.0,6,8285,3.2,https://www.cars.com/vehicledetail/detail/778042248/overview/
70032,1,NEW,2020,Dodge,Journey SE Value,,21491,Gasoline,White,,Light Frost,,FWD,4-Speed Automatic,2.4,6,11,5,https://www.cars.com/vehicledetail/detail/806608516/overview/
70032,1,NEW,2019,Ford,Transit-150 Base,,24145,E85 Flex Fuel,Oxford White,,Pewter,,RWD,6-Speed Automatic,3.7,6,12,3.8,https://www.cars.com/vehicledetail/detail/787384312/overview/
70032,1,NEW,2020,Nissan,Rogue Sport SV,,22955,Gasoline,Gun Metallic,25,Charcoal,32,FWD,Automatic CVT,2.0,6,10,4.7,https://www.cars.com/vehicledetail/detail/799662417/overview/
70032,1,NEW,2020,Nissan,Rogue SV,,24981,Gasoline,Gun Metallic,26,Charcoal,33,FWD,Automatic CVT,2.5,6,10,4.6,https://www.cars.com/vehicledetail/detail/801911716/overview/
70032,1,NEW,2020,Chevrolet,Spark LS,,12908,Gasoline,Toasted Marshmallow Metallic,29,Jet Black,38,FWD,Automatic CVT,1.4,6,10,4.9,https://www.cars.com/vehicledetail/detail/801340428/overview/
70032,1,NEW,2020,BMW,M8 Base,,,Gasoline,Black Sapphire Metallic,,Black,,AWD,8-Speed Automatic,4.4,8,13,5,https://www.cars.com/vehicledetail/detail/798734944/overview/
70032,1,NEW,2019,Cadillac,XT4 Premium Luxury,,35135,Gasoline,Stellar Black Metallic,24,Light Platinum,30,FWD,9-Speed Automatic,2.0,6,15,3.2,https://www.cars.com/vehicledetail/detail/778042524/overview/
70032,1,NEW,2020,Nissan,Rogue Sport SV,,22869,Gasoline,Caspian Blue,25,Light Gray,32,FWD,Automatic CVT,2.0,6,10,4.7,https://www.cars.com/vehicledetail/detail/799662393/overview/
70032,1,NEW,2020,Nissan,Versa 1.6 SR,,17670,Gasoline,Brilliant Silver Metallic,32,Gray,40,FWD,Automatic CVT,1.6,6,5,4.5,https://www.cars.com/vehicledetail/detail/784429128/overview/
70032,1,NEW,2020,Chevrolet,Sonic LT,,17910,Gasoline,Orange Metallic,26,Jet Black,34,FWD,6-Speed Automatic,1.4,6,7,4.5,https://www.cars.com/vehicledetail/detail/796474781/overview/
70032,1,NEW,2020,Nissan,Versa S,,16340,Gasoline,Electric Blue Metallic,27,Charcoal,35,FWD,Automatic CVT,1.6,6,10,4.5,https://www.cars.com/vehicledetail/detail/806377819/overview/
70032,1,NEW,2020,Dodge,Journey SE Value,,21491,Gasoline,White,,Light Frost,,FWD,4-Speed Automatic,2.4,6,10,5,https://www.cars.com/vehicledetail/detail/806608754/overview/
