Zipcode,Page,NewUsed,Year,Make,Model,MSRP,Dealer_Price,Fuel_Type,Exterior_Color,City_MPG,Interior_Color,Highway_MPG,Drivetrain,Transmission,Liters,V,Mileage,Customer_Review,URL
92602,1,USED,2017,Chevrolet,Malibu Hybrid,,13588,Hybrid,Silver Ice Metallic,49,Jet Black,43,FWD,1-Speed Automatic,1.8,6,59250,4.6,https://www.cars.com/vehicledetail/detail/805463398/overview/
92602,1,USED,2017,Chrysler,Pacifica Touring-L,,16099,Gasoline,Bright White Clearcoat,19,Black,28,FWD,9-Speed Automatic,3.6,6,72198,4.6,https://www.cars.com/vehicledetail/detail/805453022/overview/
92602,1,USED,2001,Ford,Excursion XLT,,8995,Gasoline,Dark Satin Green Metallic,,Medium Graphite,,4WD,4-Speed Automatic,6.8,10,132820,4.6,https://www.cars.com/vehicledetail/detail/808418180/overview/
92602,1,USED,2016,Buick,Encore Sport Touring,,11799,Gasoline,Riverrock Metallic,28,Ebony,34,FWD,6-Speed Automatic,1.4,6,32769,4.7,https://www.cars.com/vehicledetail/detail/788387893/overview/
92602,1,NEW,2020,Nissan,Kicks S,,19255,Gasoline,Fresh Powder,31,Charcoal,36,FWD,Automatic CVT,1.6,6,0,4,https://www.cars.com/vehicledetail/detail/798514363/overview/
92602,1,NEW,2020,Ford,EcoSport S,,,Gasoline,Smoke Metallic,23,Medium Light Stone,29,FWD,6-Speed Automatic,1.0,2,3,4.2,https://www.cars.com/vehicledetail/detail/799654978/overview/
92602,1,USED,2019,Chevrolet,Equinox 1LT,,16199,Gasoline,Storm Blue Metallic,26,Jet Black,32,FWD,6-Speed Automatic,1.5,6,20113,4.6,https://www.cars.com/vehicledetail/detail/804963553/overview/
92602,1,USED,2007,Audi,RS 4,,22950,Gasoline,Phantom Black Pearl,14,Black,21,AWD,6-Speed Manual,4.2,8,117619,5,https://www.cars.com/vehicledetail/detail/805155518/overview/
92602,1,USED,2018,Bentley,Mulsanne Speed,,194500,Gasoline,Black Crystal Metallic,,Black,,RWD,Automatic,,,1449,,https://www.cars.com/vehicledetail/detail/807456546/overview/
92602,1,USED,2020,Lamborghini,Urus Base,,259878,Gasoline,Nero Noctis,12,Terra Asia Vintage,17,AWD,8-Speed Automatic,4.0,8,935,,https://www.cars.com/vehicledetail/detail/805403286/overview/
92602,1,USED,2020,Lamborghini,Huracan EVO Coupe,,289900,Gasoline,Grigio Lynx,13,Nero Ade,18,AWD,Automatic,,,2182,5,https://www.cars.com/vehicledetail/detail/803571411/overview/
92602,1,NEW,2020,Nissan,Rogue Sport SV,,23335,Gasoline,Gun Metallic,25,Charcoal,32,FWD,Variable,,,1,4.7,https://www.cars.com/vehicledetail/detail/806922762/overview/
92602,1,USED,2004,Mazda,RX-8 Sport Automatic,,5985,Gasoline,Brilliant Black Clearcoat,,Black / Chaparral,,RWD,4-Speed Automatic,1.3,,57748,4.2,https://www.cars.com/vehicledetail/detail/806036377/overview/
92602,1,USED,2015,Chevrolet,City Express 1LS,,13771,Gasoline,Designer White,24,Medium Pewter,26,FWD,Automatic CVT,2.0,6,30688,3.6,https://www.cars.com/vehicledetail/detail/806933865/overview/
92602,1,NEW,2019,Cadillac,XT4 Sport,,32300,Gasoline,Black Metallic,24,Jet Black,30,FWD,9-Speed Automatic,2.0,6,27,3.2,https://www.cars.com/vehicledetail/detail/800381580/overview/
92602,1,NEW,2020,Nissan,Versa 1.6 SV,,16558,Gasoline,Black,32,,40,FWD,Automatic CVT,1.6,6,10,4.6,https://www.cars.com/vehicledetail/detail/788462261/overview/
92602,1,NEW,2019,Cadillac,XT4 Premium Luxury,,36080,Gasoline,Black Metallic,24,Black,30,FWD,9-Speed Automatic,2.0,6,24,3.2,https://www.cars.com/vehicledetail/detail/800381700/overview/
92602,1,USED,2018,Hyundai,Sonata Sport 2.0T,,16799,Gasoline,Phantom Black,23,Graphite,32,FWD,8-Speed Automatic,2.0,6,12780,4.8,https://www.cars.com/vehicledetail/detail/793294622/overview/
92602,1,NEW,2019,Cadillac,XT4 Sport,,38285,Gasoline,Black Metallic,24,Jet Black,30,FWD,9-Speed Automatic,2.0,6,,3.2,https://www.cars.com/vehicledetail/detail/800381603/overview/
92602,1,USED,2018,Hyundai,Accent SE,,8980,Gasoline,Pomegranate Red,28,Black,37,FWD,6-Speed Automatic,1.6,6,45046,4.6,https://www.cars.com/vehicledetail/detail/796664341/overview/
92602,1,USED,2006,Bentley,Continental Flying Spur,,38888,Gasoline,Black,11,Tan,18,AWD,6-Speed Automatic,6.0,0,37618,5,https://www.cars.com/vehicledetail/detail/784936284/overview/
92602,1,NEW,2020,Nissan,Kicks SV,,20885,Gasoline,Brilliant Silver,31,Charcoal,36,FWD,Automatic CVT,1.6,6,0,4,https://www.cars.com/vehicledetail/detail/799712161/overview/
92602,1,NEW,2020,Nissan,Versa S,,15480,Gasoline,Fresh Powder,27,Charcoal,35,FWD,Manual,,,2,4.6,https://www.cars.com/vehicledetail/detail/806922582/overview/
92602,1,USED,2016,Mercedes-Benz,Maybach S S 600,,85995,Gasoline,Satin Black,13,Nut Brown / Black,20,RWD,7-Speed Automatic,6.0,12,23691,,https://www.cars.com/vehicledetail/detail/797289206/overview/
92602,1,NEW,2020,Nissan,Kicks SR,,22855,Gasoline,Gun Metallic,31,Charcoal,36,FWD,Automatic CVT,1.6,6,0,4,https://www.cars.com/vehicledetail/detail/798514365/overview/
92602,1,USED,2018,Alfa,Romeo 4C Base,,47800,Gasoline,Black,24,Brown,34,RWD,6-Speed Automatic with Auto-Shift,1.7,6,10142,5,https://www.cars.com/vehicledetail/detail/792239762/overview/
92602,1,USED,2001,Mercury,Grand Marquis LS,,4500,Gasoline,Gold,18,Tan,25,RWD,Automatic,,,44515,4.9,https://www.cars.com/vehicledetail/detail/806534655/overview/
92602,1,NEW,2020,Nissan,Versa 1.6 SV,,16558,Gasoline,Black,32,,40,FWD,Automatic CVT,1.6,6,4,4.6,https://www.cars.com/vehicledetail/detail/794285635/overview/
92602,1,NEW,2019,Cadillac,XT4 Sport,,33800,Gasoline,Black Metallic,24,Jet Black,30,AWD,9-Speed Automatic,2.0,6,19,3.2,https://www.cars.com/vehicledetail/detail/800381715/overview/
